1500
'011084',1896,11,63.2,49 
'011084',1896,12,49.9,38.3 
'011084',1897,1,48.2,37 
'011084',1897,2,57,45.2 
'011084',1897,3,66.7,56.4 
'011084',1897,4,66.7,53.9 
'011084',1897,5,72.1,57.6 
'011084',1897,6,84.3,70.7 
'011084',1897,7,83,72 
'011084',1897,8,80.9,69.9 
'011084',1897,9,77.3,64.5 
'011084',1897,10,69.8,54.8 
'011084',1897,11,60,44.4 
'011084',1897,12,54.6,43.9 
'011084',1898,1,55.2,43.7 
'011084',1898,2,51.8,38.2 
'011084',1898,3,64.4,53.1 
'011084',1898,4,63.4,49.7 
'011084',1898,5,77.1,61.3 
'011084',1898,6,83.2,70.2 
'011084',1898,7,82,70.9 
'011084',1898,8,81.8,70.1 
'011084',1898,9,78.1,67.7 
'011084',1898,10,63.7,51.1 
'011084',1898,11,55.4,41.7 
'011084',1898,12,48.4,37.5 
'011084',1899,1,50.2,38.8 
'011084',1899,2,45.1,30.1 
'011084',1899,3,62,48.8 
'011084',1899,4,65.9,53 
'011084',1899,5,79.1,65.5 
'011084',1899,6,82.1,69.2 
'011084',1899,7,82.5,70.9 
'011084',1899,8,82.4,71.2 
'011084',1899,9,75.4,60.4 
'011084',1899,10,68.4,55.5 
'011084',1899,11,59,44.4 
'011084',1899,12,51.4,39.3 
'011084',1900,1,49.2,37 
'011084',1900,2,49.7,33.9 
'011084',1900,3,59.4,46.4 
'011084',1900,4,68.2,54.2 
'011084',1900,5,74.5,60.3 
'011084',1900,6,79.5,68.3 
'011084',1900,7,80.3,70 
'011084',1900,8,83.4,70.4 
'011084',1900,9,80.2,68.2 
'011084',1900,10,71.2,60.1 
'011084',1900,11,60.4,47.1 
'011084',1900,12,51.8,40.7 
'011084',1901,1,52,40.2 
'011084',1901,2,49.3,36.3 
'011084',1901,3,58.1,44.6 
'011084',1901,4,62.9,48.6 
'011084',1901,5,75.6,60.1 
'011084',1901,6,80.6,67 
'011084',1901,7,84.4,71 
'011084',1901,8,81.5,69.6 
'011084',1901,9,76.1,62.6 
'011084',1901,10,65.4,50.4 
'011084',1901,11,55.1,38.4 
'011084',1901,12,49.5,36.6 
'011084',1902,1,48.7,35 
'011084',1902,2,48,35.5 
'011084',1902,3,60.7,47.5 
'011084',1902,4,66.3,51.9 
'011084',1902,5,78.7,64.5 
'011084',1902,6,83.9,69.1 
'011084',1902,7,84.8,70.9 
'011084',1902,8,84.9,71.3 
'011084',1902,9,77.8,65.3 
'011084',1902,10,65.6,52.1 
'011084',1902,11,62.1,48.4 
'011084',1902,12,51.4,40.5 
'011084',1903,1,47.9,36.5 
'011084',1903,2,54.5,41.3 
'011084',1903,3,64.6,53.9 
'011084',1903,4,65.6,51.3 
'011084',1903,5,72.9,60 
'011084',1903,6,77.1,63.4 
'011084',1903,7,82.2,69.8 
'011084',1903,8,83.2,70.8 
'011084',1903,9,75.8,61.1 
'011084',1903,10,65.5,50.7 
'011084',1903,11,56.1,41.3 
'011084',1903,12,45.8,31.6 
'011084',1904,1,46.7,35 
'011084',1904,2,55.8,41.8 
'011084',1904,3,64.2,50.4 
'011084',1904,4,65.4,50.8 
'011084',1904,5,73.4,57.4 
'011084',1904,6,81.1,66.6 
'011084',1904,7,81.4,68.2 
'011084',1904,8,81.4,69.6 
'011084',1904,9,80.2,65.3 
'011084',1904,10,68.6,52 
'011084',1904,11,57.3,42.7 
'011084',1904,12,51.7,39.2 
'011084',1905,1,44.8,32.1 
'011084',1905,2,47.6,34.5 
'011084',1905,3,62.9,48.8 
'011084',1905,4,69.1,55.6 
'011084',1905,5,79,65.6 
'011084',1905,6,82.7,69.1 
'011084',1905,7,82.1,70 
'011084',1905,8,82.9,70.5 
'011084',1905,9,79.4,66.1 
'011084',1905,10,66.5,54.3 
'011084',1905,11,60.9,45.9 
'011084',1905,12,47,35.9 
'011084',1906,1,50.1,37.1 
'011084',1906,2,50.7,36.7 
'011084',1906,3,57,42.8 
'011084',1906,4,69,52.6 
'011084',1906,5,73.1,59.6 
'011084',1906,6,81.2,68 
'011084',1906,7,82,69.9 
'011084',1906,8,82.9,70.8 
'011084',1906,9,80.2,69.3 
'011084',1906,10,61.9,48.6 
'011084',1906,11,61.2,46.2 
'011084',1906,12,54.5,42.5 
'011084',1907,1,58.7,46.2 
'011084',1907,2,55.8,41.7 
'011084',1907,3,68.1,54.3 
'011084',1907,4,63.6,50.6 
'011084',1907,5,71.9,59.2 
'011084',1907,6,78.5,65.1 
'011084',1907,7,83,70.5 
'011084',1907,8,82.3,70.4 
'011084',1907,9,78.2,66 
'011084',1907,10,66.2,51.4 
'011084',1907,11,56.2,42.7 
'011084',1907,12,50.3,40.2 
'011084',1908,1,48.5,36.2 
'011084',1908,2,50.5,37.5 
'011084',1908,3,66.5,53.3 
'011084',1908,4,72.2,59.8 
'011084',1908,5,75.4,61 
'011084',1908,6,80.1,67 
'011084',1908,7,81.4,69.9 
'011084',1908,8,82.2,69.8 
'011084',1908,9,76.3,63.1 
'011084',1908,10,62,45.8 
'011084',1908,11,61.6,46.5 
'011084',1908,12,55.8,43 
'011084',1909,1,55,42.5 
'011084',1909,2,54.8,39.5 
'011084',1909,3,60.9,47.6 
'011084',1909,4,66.9,53.7 
'011084',1909,5,72.2,58.2 
'011084',1909,6,80.7,68.8 
'011084',1909,7,82.5,71 
'011084',1909,8,83.6,71.2 
'011084',1909,9,78.4,65.5 
'011084',1909,10,65.6,48.1 
'011084',1909,11,63.6,46.8 
'011084',1909,12,47.2,35.1 
'011084',1910,1,50.2,36.2 
'011084',1910,2,50.8,37.4 
'011084',1910,3,63.7,48.8 
'011084',1910,4,65.8,50.3 
'011084',1910,5,72.3,57.5 
'011084',1910,6,78.8,66.1 
'011084',1910,7,81.1,70 
'011084',1910,8,82.3,69.6 
'011084',1910,9,79.7,65.6 
'011084',1910,10,68.9,54.5 
'011084',1910,11,56.3,40.6 
'011084',1910,12,47.5,35.1 
'011084',1911,1,55.5,42.6 
'011084',1911,2,61.4,48.8 
'011084',1911,3,62.6,47.9 
'011084',1911,4,68.3,55.6 
'011084',1911,5,75.8,60 
'011084',1911,6,83.7,69.5 
'011084',1911,7,80.5,69.1 
'011084',1911,8,82.5,70.2 
'011084',1911,9,82.8,69.5 
'011084',1911,10,70.9,57.7 
'011084',1911,11,55.3,40.7 
'011084',1911,12,54.4,42.1 
'011084',1912,1,45.1,32.5 
'011084',1912,2,48.3,35.2 
'011084',1912,3,58,45.2 
'011084',1912,4,68.8,56.1 
'011084',1912,5,75.9,60.9 
'011084',1912,6,78.1,66.7 
'011084',1912,7,82,70.5 
'011084',1912,8,81.3,69.8 
'011084',1912,9,80,68.9 
'011084',1912,10,68.3,56 
'011084',1912,11,55.8,39.4 
'011084',1912,12,52.9,42.4 
'011084',1913,1,56.1,43.4 
'011084',1913,2,52.3,37.3 
'011084',1913,3,60.2,47.9 
'011084',1913,4,65.1,51 
'011084',1913,5,74.2,59.6 
'011084',1913,6,80,65.6 
'011084',1913,7,81.8,70.8 
'011084',1913,8,83.4,69.1 
'011084',1913,9,75.5,63.5 
'011084',1913,10,62.6,47.9 
'011084',1913,11,60.1,43.1 
'011084',1913,12,52.4,42.1 
'011084',1914,1,50.3,36.9 
'011084',1914,2,50.2,35.8 
'011084',1914,3,53.6,40.2 
'011084',1914,4,67.9,53.9 
'011084',1914,5,75.2,59.5 
'011084',1914,6,86,71.1 
'011084',1914,7,83.3,70.8 
'011084',1914,8,81.5,69.8 
'011084',1914,9,75.4,62.5 
'011084',1914,10,65.1,52.5 
'011084',1914,11,57.6,42.7 
'011084',1914,12,48.2,39 
'011084',1915,1,47.9,35.4 
'011084',1915,2,52.4,39.8 
'011084',1915,3,50.9,37.7 
'011084',1915,4,66.3,49.7 
'011084',1915,5,77.7,64.1 
'011084',1915,6,81.6,67.5 
'011084',1915,7,83.4,70.6 
'011084',1915,8,82.8,70.1 
'011084',1915,9,80,66.4 
'011084',1915,10,69,56 
'011084',1915,11,62.4,46.5 
'011084',1915,12,50.6,37.4 
'011084',1916,1,56.6,44.7 
'011084',1916,2,51.9,36.5 
'011084',1916,3,57.5,43.6 
'011084',1916,4,65.5,51.3 
'011084',1916,5,74.8,59.7 
'011084',1916,6,80.5,67.4 
'011084',1916,7,80.2,71.3 
'011084',1916,8,82.7,69.5 
'011084',1916,9,76.4,62.7 
'011084',1916,10,66.2,52 
'011084',1916,11,58.3,41.7 
'011084',1916,12,52.1,40.1 
'011084',1917,1,56.5,44.5 
'011084',1917,2,54.5,40.4 
'011084',1917,3,62.5,48.6 
'011084',1917,4,66.9,51.7 
'011084',1917,5,70,55.6 
'011084',1917,6,81.1,65.8 
'011084',1917,7,82,69.4 
'011084',1917,8,81.3,68.8 
'011084',1917,9,75.7,63.4 
'011084',1917,10,61.4,44.7 
'011084',1917,11,53.4,36.9 
'011084',1917,12,45.3,33.6 
'011084',1918,1,44.2,31.2 
'011084',1918,2,60.3,47.2 
'011084',1918,3,66,53.1 
'011084',1918,4,64.9,53.2 
'011084',1918,5,74.5,60.2 
'011084',1918,6,82.8,69 
'011084',1918,7,80.9,66.2 
'011084',1918,8,81.3,68.9 
'011084',1918,9,71.9,59.2 
'011084',1918,10,70.8,59.9 
'011084',1918,11,57.9,43.6 
'011084',1918,12,52.7,41.3 
'011084',1919,1,49.3,35.7 
'011084',1919,2,54.2,41.5 
'011084',1919,3,61.2,47.4 
'011084',1919,4,66.1,50.7 
'011084',1919,5,71.3,58.4 
'011084',1919,6,81,68.7 
'011084',1919,7,81.8,69.9 
'011084',1919,8,82.6,70.3 
'011084',1919,9,77.1,63.8 
'011084',1919,10,77.3,64.8 
'011084',1919,11,62.2,50 
'011084',1919,12,52,38.8 
'011084',1920,1,53.2,42.1 
'011084',1920,2,52.2,41.2 
'011084',1920,3,55.9,43.5 
'011084',1920,4,66.6,54.7 
'011084',1920,5,73.7,62.9 
'011084',1920,6,79.2,66.1 
'011084',1920,7,81.2,69.5 
'011084',1920,8,79.9,68.7 
'011084',1920,9,79.5,67.1 
'011084',1920,10,65.2,51.2 
'011084',1920,11,55.7,40.3 
'011084',1920,12,48.6,34.7 
'011084',1921,1,54.1,41.1 
'011084',1921,2,56.4,42.4 
'011084',1921,3,67.6,54.2 
'011084',1921,4,65.2,51.4 
'011084',1921,5,71.6,57.3 
'011084',1921,6,82.6,68.1 
'011084',1921,7,82.2,70.2 
'011084',1921,8,82.7,69.9 
'011084',1921,9,82.8,69.3 
'011084',1921,10,65.7,50.6 
'011084',1921,11,62.8,48.2 
'011084',1921,12,55.9,44.5 
'011084',1922,1,52.8,41.4 
'011084',1922,2,60.9,48.6 
'011084',1922,3,60.4,47.2 
'011084',1922,4,69.8,57.4 
'011084',1922,5,73.9,61.4 
'011084',1922,6,81.2,67.6 
'011084',1922,7,80.9,69.5 
'011084',1922,8,80.7,68.7 
'011084',1922,9,78.9,65.3 
'011084',1922,10,66.5,54.6 
'011084',1922,11,61,47.5 
'011084',1922,12,56.4,44.2 
'011084',1923,1,56.4,43.5 
'011084',1923,2,52.9,40.8 
'011084',1923,3,59.1,46.2 
'011084',1923,4,66.8,53.9 
'011084',1923,5,71.5,58.7 
'011084',1923,6,78.9,66.6 
'011084',1923,7,79.9,67.9 
'011084',1923,8,80.4,69.6 
'011084',1923,9,78.9,65.4 
'011084',1923,10,65.4,51.8 
'011084',1923,11,55.7,41.7 
'011084',1923,12,57.6,46.9 
'011084',1924,1,46.9,33.6 
'011084',1924,2,53,40.8 
'011084',1924,3,55.1,41.8 
